iter	Passed	Remaining
287	36398	89986
288	36505	89811
289	36610	89631
290	36717	89459
291	36819	89275
292	36923	89096
293	37025	88910
294	37150	88783
295	37254	88606
296	37366	88445
297	37472	88273
298	37571	88086
299	37673	87904
300	37775	87725
301	37879	87549
302	37982	87371
303	38097	87223
304	38207	87062
305	38309	86885
306	38410	86704
307	38514	86533
308	38617	86357
309	38719	86182
310	38821	86006
311	38921	85827
312	39028	85664
313	39154	85540
314	39268	85394
315	39373	85226
316	39474	85050
317	39576	84878
318	39679	84708
319	39786	84545
320	39885	84368
321	39986	84195
322	40114	84079
323	40225	83926
324	40327	83758
325	40430	83589
326	40531	83417
327	40637	83258
328	40741	83093
329	40843	82924
330	40948	82762
331	41061	82617
332	41169	82463
333	41275	82303
334	41380	82143
335	41490	81993
336	41593	81828
337	41693	81660
338	41804	81512
339	41907	81348
340	42023	81211
341	42137	81072
342	42249	80925
343	42349	80760
344	42451	80596
345	42554	80436
346	42661	80281
347	42766	80125
348	42866	79959
349	42970	79802
350	43091	79675
351	43198	79524
352	43303	79368
353	43404	79207
354	43510	79055
355	43614	78897
356	43717	78740
357	43817	78578
358	43920	78419
359	44024	78265
360	44136	78125
361	44250	77988
362	44349	77824
363	44449	77664
364	44553	77511
365	44654	77352
366	44773	77225
367	44873	77066
368	44971	76902
369	45076	76752
370	45190	76617
371	45296	76468
372	45402	76319
373	45503	76163
374	45604	76008
375	45705	75852
376	45812	75705
377	45917	75557
378	46025	75413
379	46138	75278
380	46247	75136
381	46348	74981
382	46449	74828
383	46551	74676
384	46653	74524
385	46762	74383
386	46867	74236
387	46973	74092
388	47084	73955
389	47207	73837
390	47316	73696
391	47419	73549
392	47523	73401
393	47626	73252
394	47727	73101
395	47832	72957
396	47938	72813
397	48045	72671
398	48151	72528
399	48253	72380
400	48356	72232
401	48456	72081
402	48561	71938
403	48674	71806
404	48781	71665
405	48883	71519
406	48985	71372
407	49107	71253
408	49209	71106
409	49316	70967
410	49416	70817
411	49517	70670
412	49618	70522
413	49712	70366
414	49818	70226
415	49923	70085
416	50025	69940
417	50131	69800
418	50245	69672
419	50348	69529
420	50449	69382
421	50552	69239
422	50649	69089
423	50750	68944
424	50855	68804
425	50962	68667
426	51071	68534
427	51177	68395
428	51281	68256
429	51387	68118
430	51491	67978
431	51596	67839
432	51696	67694
433	51807	67564
434	51909	67422
435	52010	67280
436	52135	67168
437	52240	67030
438	52347	66895
439	52458	66765
440	52566	66631
441	52670	66494
442	52773	66354
443	52879	66217
444	52984	66081
445	53091	65948
446	53204	65821
447	53313	65690
448	53414	65549
449	53518	65411
450	53622	65273
451	53722	65133
452	53826	64995
453	53931	64860
454	54042	64732
455	54169	64622
456	54275	64489
457	54385	64360
458	54485	64218
459	54590	64084
460	54689	63943
461	54801	63816
462	54903	63679
463	55004	63539
464	55096	63390
465	55206	63262
466	55312	63129
467	55421	63000
468	55527	62867
469	55629	62730
470	55731	62594
471	55834	62458
472	55933	62319
473	56056	62205
474	56139	62048
475	56246	61918
476	56331	61764
477	56432	61626
478	56537	61494
479	56641	61361
480	56750	61234
481	56859	61106
482	56964	60974
483	57067	60840
484	57174	60711
485	57280	60580
486	57385	60449
487	57487	60315
488	57589	60179
489	57692	60047
490	57793	59912
491	57900	59783
492	58003	59650
493	58117	59528
494	58224	59400
495	58325	59265
496	58434	59139
497	58535	59005
498	58638	58874
499	58741	58741
500	58841	58606
501	58945	58476
502	59058	58354
503	59165	58226
504	59268	58095
505	59373	57965
506	59476	57834
507	59576	57700
508	59678	57568
509	59789	57445
510	59894	57315
511	60001	57189
512	60108	57061
513	60210	56930
514	60316	56802
515	60421	56674
516	60522	56542
517	60622	56409
518	60730	56283
519	60834	56155
520	60937	56025
521	61060	55913
522	61154	55775
523	61265	55653
524	61362	55518
525	61466	55390
526	61569	55260
527	61669	55128
528	61776	55003
529	61869	54865
530	61970	54734
531	62098	54628
532	62225	54519
533	62327	54390
534	62431	54263
535	62539	54138
536	62642	54009
537	62747	53883
538	62849	53754
539	62954	53627
540	63060	53502
541	63166	53377
542	63268	53247
543	63374	53122
544	63480	52997
545	63582	52869
546	63688	52743
547	63792	52617
548	63893	52487
549	64006	52368
550	64123	52252
551	64227	52126
552	64333	52001
553	64434	51873
554	64540	51748
555	64641	51620
556	64750	51498
557	64856	51373
558	64953	51242
559	65065	51123
560	65170	50998
561	65279	50875
562	65380	50747
563	65488	50625
564	65590	50498
565	65691	50371
566	65794	50244
567	65899	50120
568	66012	50002
569	66119	49879
570	66228	49758
571	66328	49630
572	66426	49501
573	66533	49378
574	66630	49248
575	66742	49129
576	66835	48996
577	66935	48870
578	67057	48758
579	67168	48639
580	67274	48516
581	67376	48390
582	67488	48272
583	67594	48149
584	67700	48026
585	67798	47898
586	67902	47774
587	68006	47650
588	68114	47530
589	68221	47408
590	68327	47285
591	68431	47162
592	68539	47041
593	68642	46916
594	68746	46794
595	68852	46671
596	68953	46546
597	69073	46434
598	69174	46308
599	69277	46185
600	69379	46060
601	69482	45937
602	69589	45815
603	69692	45692
604	69800	45572
605	69904	45449
606	70003	45323
607	70116	45206
608	70232	45091
609	70339	44971
610	70440	44846
611	70546	44725
612	70651	44604
613	70753	44480
614	70855	44356
615	70957	44233
616	71061	44111
617	71169	43991
618	71264	43863
619	71366	43740
620	71472	43620
621	71575	43497
622	71679	43375
623	71782	43253
624	71882	43129
625	71982	43005
626	72104	42894
627	72209	42773
628	72310	42650
629	72410	42526
630	72514	42405
631	72617	42283
632	72721	42162
633	72820	42038
634	72919	41914
635	73032	41798
636	73137	41677
637	73240	41556
638	73337	41431
639	73436	41308
640	73538	41185
641	73642	41065
642	73746	40945
643	73850	40824
644	73955	40703
645	74061	40584
646	74178	40471
647	74282	40351
648	74392	40233
649	74494	40112
650	74596	39990
651	74696	39868
652	74801	39748
653	74905	39629
654	75008	39508
655	75119	39392
656	75221	39271
657	75324	39150
658	75426	39029
659	75529	38909
660	75634	38789
661	75735	38668
662	75839	38548
663	75942	38428
664	76062	38317
665	76162	38195
666	76270	38077
667	76371	37957
668	76473	37836
669	76565	37711
670	76668	37591
671	76771	37471
672	76875	37352
673	76982	37234
674	77093	37118
675	77197	36999
676	77307	36883
677	77411	36764
678	77512	36644
679	77614	36524
680	77719	36405
681	77823	36287
682	77923	36166
683	78034	36051
684	78117	35922
685	78220	35803
686	78319	35682
687	78408	35557
688	78494	35430
689	78599	35312
690	78708	35196
691	78809	35077
692	78886	34946
693	79003	34834
694	79111	34717
695	79215	34599
696	79314	34479
697	79419	34361
698	79518	34241
699	79614	34120
700	79729	34007
701	79832	33888
702	79935	33770
703	80054	33659
704	80154	33539
705	80262	33423
706	80362	33304
707	80468	33187
708	80572	33070
709	80672	32950
710	80777	32833
711	80881	32715
712	80984	32598
713	81096	32483
714	81161	32351
715	81261	32232
716	81363	32114
717	81468	31997
718	81568	31878
719	81673	31762
720	81782	31646
721	81885	31529
722	81988	31411
723	82104	31299
724	82211	31183
725	82318	31067
726	82422	30951
727	82527	30834
728	82604	30707
729	82705	30589
730	82805	30471
731	82910	30355
732	83014	30238
733	83116	30121
734	83216	30003
735	83320	29886
736	83422	29769
737	83526	29652
738	83627	29535
739	83728	29418
740	83834	29302
741	83938	29186
742	84063	29077
743	84150	28954
744	84255	28839
745	84361	28723
746	84463	28606
747	84565	28489
748	84669	28373
749	84782	28260
750	84885	28144
751	84994	28030
752	85067	27904
753	85136	27776
754	85229	27657
755	85333	27541
756	85438	27426
757	85544	27310
758	85652	27196
759	85753	27080
760	85856	26964
761	85963	26849
762	86083	26738
763	86185	26622
764	86285	26506
765	86387	26390
766	86491	26274
767	86597	26159
768	86698	26043
769	86808	25929
770	86911	25814
771	87022	25700
772	87125	25585
773	87233	25471
774	87337	25356
775	87441	25240
776	87542	25124
777	87647	25009
778	87751	24894
779	87856	24780
780	87957	24664
781	88075	24552
782	88180	24438
783	88285	24323
784	88383	24206
785	88488	24092
786	88585	23975
787	88688	23860
788	88795	23746
789	88897	23630
790	89007	23517
791	89111	23403
792	89210	23287
793	89315	23172
794	89417	23057
795	89523	22943
796	89627	22828
797	89737	22715
798	89843	22601
799	89944	22486
800	90062	22375
801	90154	22257
802	90263	22144
803	90364	22029
804	90465	21914
805	90563	21798
806	90665	21683
807	90766	21568
808	90867	21453
809	90970	21338
810	91086	21227
811	91193	21113
812	91297	20999
813	91395	20883
814	91502	20770
815	91566	20647
816	91641	20526
817	91747	20413
818	91850	20298
819	91952	20184
820	92062	20072
821	92175	19960
822	92282	19846
823	92384	19732
824	92485	19618
825	92585	19503
826	92691	19390
827	92790	19275
828	92891	19160
829	92976	19043
830	93083	18930
831	93155	18810
832	93233	18691
833	93337	18577
834	93436	18463
835	93542	18350
836	93639	18235
837	93740	18121
838	93841	18007
839	93944	17894
840	94068	17784
841	94169	17670
842	94276	17558
843	94375	17443
844	94475	17329
845	94577	17216
846	94681	17103
847	94787	16990
848	94890	16876
849	94992	16763
850	95101	16651
851	95203	16537
852	95303	16423
853	95368	16304
854	95433	16184
855	95497	16065
856	95562	15945
857	95627	15826
858	95692	15707
859	95757	15588
860	95820	15469
861	95885	15350
862	95947	15231
863	96031	15116
864	96094	14997
865	96157	14878
866	96223	14760
867	96288	14642
868	96351	14524
869	96414	14406
870	96516	14294
871	96618	14182
872	96728	14071
873	96793	13954
874	96859	13837
875	96926	13720
876	96995	13603
877	97064	13487
878	97132	13370
879	97198	13254
880	97263	13137
881	97328	13021
882	97393	12904
883	97457	12788
884	97523	12672
885	97587	12556
886	97651	12440
887	97715	12324
888	97779	12208
889	97842	12092
890	97908	11977
891	97980	11863
892	98053	11748
893	98118	11633
894	98186	11519
895	98249	11403
896	98319	11289
897	98383	11175
898	98447	11060
899	98511	10945
900	98574	10831
901	98638	10716
902	98702	10602
903	98765	10488
904	98829	10374
905	98893	10260
906	98957	10146
907	99043	10035
908	99107	9921
909	99177	9808
910	99244	9695
911	99308	9582
912	99372	9469
913	99436	9356
914	99499	9243
915	99563	9130
916	99627	9017
917	99692	8905
918	99763	8793
919	99826	8680
920	99890	8568
921	99957	8456
922	100033	8345
923	100136	8236
924	100239	8127
925	100339	8018
926	100440	7909
927	100540	7800
928	100605	7688
929	100705	7579
930	100803	7470
931	100906	7362
932	101019	7254
933	101125	7145
934	101228	7037
935	101332	6928
936	101432	6819
937	101535	6711
938	101637	6602
939	101742	6494
940	101808	6383
941	101907	6274
942	102016	6166
943	102120	6057
944	102225	5949
945	102327	5841
946	102431	5732
947	102531	5624
948	102635	5515
949	102741	5407
950	102829	5298
951	102931	5189
952	103048	5082
953	103114	4971
954	103184	4862
955	103250	4752
956	103315	4642
957	103382	4532
958	103447	4422
959	103512	4313
960	103578	4203
961	103644	4094
962	103744	3986
963	103851	3878
964	103950	3770
965	104068	3662
966	104176	3555
967	104279	3447
968	104341	3338
969	104441	3230
970	104506	3121
971	104568	3012
972	104669	2904
973	104778	2796
974	104884	2689
975	105000	2581
976	105107	2474
977	105191	2366
978	105292	2258
979	105390	2150
980	105493	2043
981	105597	1935
982	105698	1827
983	105794	1720
984	105859	1612
985	105963	1504
986	106084	1397
987	106188	1289
988	106292	1182
989	106402	1074
990	106508	967
991	106612	859
992	106725	752
993	106834	644
994	106946	537
995	107070	430
996	107177	322
997	107280	214
998	107347	107
999	107454	0
