iter	Logloss
0	0.5112836496
1	0.3765155972
2	0.2954478164
3	0.2438621043
4	0.2102996691
5	0.1869067697
6	0.1695741829
7	0.156202592
8	0.147559501
9	0.1422446219
10	0.1371551877
11	0.1332352306
12	0.129940063
13	0.1266430326
14	0.1243379174
15	0.12247364
16	0.1204968382
17	0.1188933627
18	0.1173825393
19	0.1155067422
20	0.1147990358
21	0.1138338514
22	0.1126021217
23	0.1119227698
24	0.1106112035
25	0.109968438
26	0.1091858536
27	0.1084610199
28	0.1079064982
29	0.1069385205
30	0.1058505214
31	0.104384993
32	0.1037622111
33	0.1028844492
34	0.1019750327
35	0.1009181441
36	0.1002000225
37	0.09966629249
38	0.09900996424
39	0.09861474548
40	0.09801082475
41	0.09748680744
42	0.09703032179
43	0.09654261039
44	0.09579116507
45	0.09508154264
46	0.09469518692
47	0.09420888434
48	0.0933023379
49	0.09258354938
50	0.09217416021
51	0.09153642332
52	0.09135868401
53	0.091070659
54	0.09036443653
55	0.09003552847
56	0.08960945684
57	0.08925294234
58	0.08898287129
59	0.08879521494
60	0.0881890283
61	0.08762667904
62	0.08738044901
63	0.08700870669
64	0.08677006093
65	0.08641321562
66	0.08579140036
67	0.08528584613
68	0.08487447186
69	0.0841776327
70	0.08361386784
71	0.08329172271
72	0.08292040599
73	0.08249258578
74	0.08231946029
75	0.08188326549
76	0.08174382056
77	0.08152212578
78	0.0812514503
79	0.08080080082
80	0.08039782849
81	0.07989804813
82	0.07939779992
83	0.07891180082
84	0.07861417631
85	0.07840686096
86	0.07804092428
87	0.07790285428
88	0.07768470926
89	0.07737097557
90	0.07720606591
91	0.0769388566
92	0.07675492997
93	0.07604118854
94	0.07583301367
95	0.07556764118
96	0.07544187435
97	0.07516237361
98	0.07495928507
99	0.0746353954
100	0.07446907109
101	0.07408300425
102	0.07364389815
103	0.07338684686
104	0.07283587301
105	0.07248162303
106	0.07200310263
107	0.07169923908
108	0.07151605222
109	0.07117767374
110	0.07088690463
111	0.07054806985
112	0.07033410828
113	0.06998307088
114	0.06986546319
115	0.0697169175
116	0.06937344887
117	0.06913192396
118	0.06892626469
119	0.068642053
120	0.06836658718
121	0.06780279415
122	0.06749845953
123	0.06725156883
124	0.06695862202
125	0.06679712663
126	0.06654001898
127	0.06632804511
128	0.06616794829
129	0.06600787215
130	0.06562256524
131	0.06531144736
132	0.06514678425
133	0.06481724349
134	0.06457775736
135	0.06441480931
136	0.0641421372
137	0.06392972065
138	0.06378593403
139	0.06367724074
140	0.06351121176
141	0.06314176281
142	0.06288432281
143	0.06258461437
144	0.06235747564
145	0.06222128911
146	0.06206140355
147	0.06190901489
148	0.06166240941
149	0.06138666695
150	0.06124613419
151	0.06097556963
152	0.06078313492
153	0.06059941191
154	0.0604996076
155	0.06035331403
156	0.06021828737
157	0.06008739862
158	0.05978897437
159	0.05967764042
160	0.05952364276
161	0.0592829219
162	0.05915939595
